# Hipparcos bright-star supplement — generated by hipparcos-gaia-match
# Position propagated from Hipparcos epoch (J1991.25) to ref_epoch J2015.50 via Hipparcos PM.
# fitted_g_mag uses G ≈ +0.1835 +0.9882*Hp -0.4359*(B-V) when B-V is present,
# else the fallback G ≈ -0.0444 +0.9770*Hp.
hip,ra,dec,parallax_mas,pmra_mas_yr,pmdec_mas_yr,b_v,fitted_g_mag
68170,209.337693,-62.489223,14.0000,-122.6800,-64.1500,0.7900,6.4110
39220,120.333625,-49.620498,1.2400,-7.9800,10.6500,-0.1100,7.3864
29762,94.011761,-50.977163,2.0400,5.0300,2.1500,1.0780,8.5486
92278,282.091304,-4.935345,7.5900,4.8200,-61.0100,0.4870,8.8556
70707,216.924194,-41.213732,7.7200,-14.1300,-0.1300,0.5430,8.5248
81574,249.898684,-52.417412,1.4600,-0.5400,-0.3100,1.7000,7.2991
33488,104.412960,-33.395786,7.9100,-45.5600,78.4600,0.5550,8.5888
68363,209.904178,-55.740298,6.6200,-42.1800,-27.3300,0.4140,8.6403
73883,226.514386,-87.173898,12.5200,10.1900,32.3000,0.4770,8.1484
88500,271.073817,-39.381315,10.4100,36.9700,-21.7300,0.4880,8.1535
108447,329.526538,38.926869,2.2200,-1.8200,-6.1100,-0.0970,7.8056
117443,357.198742,49.495928,2.7000,-10.6500,-5.3500,0.2630,8.9433
39508,121.125808,-42.758716,0.6400,-0.5200,4.2700,0.2700,7.4085
29897,94.427386,20.441866,1.7300,-1.8600,-7.4800,0.2200,8.5174
43277,132.247046,-75.058885,2.2200,-0.1100,-10.3000,0.0770,8.4216
100153,304.735408,-6.638961,5.6800,-16.7100,-71.9000,1.1330,7.0620
104579,317.765700,36.299585,1.1100,0.5700,0.9000,-0.1340,6.6952
88204,270.183356,9.564125,8.3700,-18.2400,28.2500,1.2160,6.5811
